State,County,Population,"Population Speaking Spanish at Home
(Age 5+)",Hispanic/Latino,White Alone,Black/African American Alone,American Indian/Alaskan Native Alone,Asian Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,"Household Income
<$25k","Household Income
$25k-$50k","Household Income
$50k-$75k","Household Income
$75k-$100k","Household Income
$100k-$150k","Household Income
$150k-$250k","Household Income
$250k+",Median Household Income,No High School Degree,High School Degree,Some College,Undergraduate Degree,Post-Graduate Degree
Kentucky,Menifee County,"6,522",1.9%,1.4%,94.4%,3.3%,0.3%,0.2%,0.0%,0.3%,1.5%,31.8%,26.8%,18.6%,12.0%,8.9%,1.5%,0.3%,"$42,040",22.8%,43.8%,15.5%,13.9%,4.0%
Kentucky,Mercer County,"22,124",5.5%,3.6%,91.2%,3.5%,0.2%,0.7%,0.1%,2.0%,2.3%,23.4%,21.9%,17.8%,12.4%,16.4%,6.3%,1.9%,"$56,612",14.3%,38.6%,17.9%,22.0%,7.3%
Kentucky,Montgomery County,"28,365",3.0%,3.1%,93.5%,2.7%,0.2%,0.4%,0.0%,1.4%,1.8%,26.1%,28.9%,16.4%,12.2%,11.7%,3.6%,1.1%,"$45,388",14.9%,40.9%,22.3%,15.5%,6.5%
Kentucky,Morgan County,"13,277",1.4%,1.2%,92.9%,4.8%,0.3%,0.6%,0.0%,0.2%,1.1%,38.2%,24.3%,17.0%,9.4%,8.6%,1.8%,0.7%,"$36,589",25.9%,37.5%,17.1%,12.9%,6.5%
Kentucky,Nicholas County,"7,334",4.4%,2.9%,96.5%,0.9%,0.1%,0.2%,0.0%,1.0%,1.2%,24.7%,27.2%,15.9%,12.4%,13.4%,4.6%,1.9%,"$47,831",22.1%,42.7%,15.6%,14.9%,4.7%
Kentucky,Ohio County,"23,955",3.3%,3.6%,95.7%,1.1%,0.2%,0.3%,0.0%,1.5%,1.2%,24.4%,29.4%,17.9%,11.3%,12.4%,3.4%,1.4%,"$46,591",17.3%,42.9%,19.8%,13.5%,6.5%
Kentucky,Oldham County,"67,560",5.4%,4.4%,90.0%,4.2%,0.3%,1.7%,0.1%,1.6%,2.0%,7.9%,13.1%,12.3%,10.8%,22.0%,18.2%,15.7%,"$113,280",6.9%,19.4%,22.5%,32.7%,18.5%
Kentucky,Owen County,"10,950",2.4%,3.4%,95.3%,1.1%,0.2%,0.2%,0.0%,1.8%,1.4%,25.5%,25.1%,18.9%,10.6%,13.0%,4.8%,1.9%,"$49,226",17.0%,50.1%,14.3%,15.3%,3.3%
Kentucky,Pendleton County,"14,584",3.4%,1.6%,96.4%,1.1%,0.3%,0.3%,0.1%,0.3%,1.5%,25.3%,22.6%,17.2%,14.3%,16.6%,3.7%,0.3%,"$53,072",16.8%,43.7%,21.6%,12.5%,5.4%
Kentucky,Pike County,"56,585",1.3%,1.3%,97.3%,0.8%,0.1%,0.5%,0.0%,0.3%,1.0%,35.7%,27.9%,13.4%,9.1%,9.2%,3.4%,1.2%,"$37,016",23.1%,38.7%,18.1%,13.4%,6.6%
Kentucky,Pulaski County,"65,341",1.9%,2.9%,95.0%,1.1%,0.3%,0.9%,0.0%,1.2%,1.4%,31.9%,23.7%,16.5%,10.5%,11.0%,5.2%,1.2%,"$43,312",17.5%,37.8%,20.6%,17.6%,6.5%
Kentucky,Shelby County,"50,223",8.7%,10.5%,84.0%,6.9%,0.4%,1.3%,0.1%,4.5%,2.8%,16.5%,19.8%,15.9%,14.6%,16.9%,11.3%,5.1%,"$71,559",14.2%,31.1%,22.3%,22.3%,10.1%
Kentucky,Simpson County,"18,820",1.5%,2.9%,86.1%,9.4%,0.4%,0.8%,0.1%,1.0%,2.2%,19.4%,27.1%,20.1%,12.7%,12.9%,5.4%,2.5%,"$54,443",13.8%,44.7%,19.2%,17.2%,5.1%
Kentucky,Taylor County,"25,930",9.6%,2.9%,90.1%,5.1%,0.2%,1.0%,0.1%,1.2%,2.4%,30.3%,24.4%,18.9%,11.3%,9.6%,4.3%,1.2%,"$44,728",13.8%,39.6%,19.3%,18.5%,8.7%
Kentucky,Union County,"14,206",2.6%,2.3%,82.6%,13.6%,0.3%,0.7%,0.1%,0.6%,2.2%,24.6%,31.4%,14.8%,10.8%,13.3%,4.0%,1.1%,"$44,897",12.4%,45.9%,22.1%,14.4%,5.2%
Kentucky,Webster County,"12,833",8.5%,6.4%,89.6%,3.8%,0.3%,0.4%,0.3%,3.3%,2.3%,28.2%,28.1%,16.4%,11.8%,11.0%,3.0%,1.4%,"$43,952",18.2%,46.2%,16.7%,15.6%,3.3%
Kentucky,Wolfe County,"7,118",3.4%,1.1%,97.4%,0.4%,0.3%,0.2%,0.0%,0.4%,1.3%,49.0%,26.2%,12.7%,5.3%,5.2%,1.7%,0.0%,"$26,027",29.2%,38.2%,19.2%,7.9%,5.5%
Louisiana,Assumption Parish,"21,513",2.3%,3.6%,66.6%,29.2%,0.6%,0.4%,0.1%,1.7%,1.5%,29.4%,23.6%,14.5%,11.8%,13.5%,4.2%,3.1%,"$46,207",26.2%,44.0%,14.5%,11.0%,4.3%
Louisiana,Franklin Parish,"19,856",1.2%,2.1%,65.3%,31.9%,0.3%,0.4%,0.1%,0.5%,1.5%,35.1%,24.5%,14.9%,10.2%,9.8%,3.9%,1.6%,"$38,933",23.4%,43.2%,16.2%,12.6%,4.6%
Louisiana,LaSalle Parish,"14,879",4.9%,3.3%,83.7%,12.1%,1.4%,0.3%,0.0%,1.1%,1.4%,32.3%,26.9%,13.0%,12.6%,8.4%,5.5%,1.3%,"$40,049",22.5%,42.1%,16.5%,16.1%,2.9%
Louisiana,St. Martin Parish,"53,374",2.4%,3.4%,65.4%,29.6%,0.5%,0.9%,0.0%,1.4%,2.1%,27.3%,24.0%,17.8%,11.8%,12.9%,4.7%,1.6%,"$48,446",18.8%,42.3%,19.3%,16.1%,3.5%
Louisiana,Washington Parish,"45,993",2.8%,2.8%,66.6%,30.0%,0.4%,0.3%,0.0%,0.9%,1.8%,36.5%,26.5%,14.5%,9.4%,8.7%,3.5%,1.0%,"$36,734",22.4%,43.1%,17.9%,12.8%,3.7%
Louisiana,West Feliciana Parish,"15,620",2.2%,1.7%,54.2%,43.8%,0.1%,0.3%,0.0%,0.6%,1.0%,21.8%,18.1%,16.5%,10.6%,17.2%,12.7%,3.1%,"$65,271",18.2%,36.3%,20.3%,19.1%,6.1%
Maine,Androscoggin County,"108,567",1.7%,2.2%,91.0%,4.4%,0.4%,0.9%,0.0%,0.6%,2.7%,22.2%,24.3%,18.0%,12.2%,14.4%,7.2%,1.8%,"$54,868",9.9%,35.5%,22.7%,25.4%,6.5%
Maine,Cumberland County,"297,006",1.9%,2.4%,91.0%,3.2%,0.3%,2.3%,0.0%,0.7%,2.4%,14.1%,16.0%,16.9%,13.7%,19.3%,13.4%,6.7%,"$80,614",4.5%,21.1%,17.2%,38.2%,19.1%
Maine,Hancock County,"55,158",2.3%,1.8%,95.1%,1.0%,0.5%,1.3%,0.0%,0.4%,1.6%,19.5%,21.1%,20.0%,13.1%,14.6%,7.9%,3.8%,"$61,751",5.8%,32.5%,20.4%,28.3%,13.0%
Maine,Kennebec County,"122,511",1.5%,1.8%,95.2%,0.8%,0.5%,1.0%,0.0%,0.4%,2.1%,21.5%,24.8%,17.8%,13.3%,14.6%,6.1%,1.9%,"$55,245",7.0%,33.8%,21.9%,26.8%,10.5%
Maine,Knox County,"39,767",2.3%,1.8%,95.8%,0.8%,0.5%,0.7%,0.0%,0.3%,1.8%,16.9%,22.4%,19.8%,12.8%,16.7%,8.2%,3.2%,"$63,611",6.2%,33.7%,19.9%,29.4%,10.7%
Maine,Oxford County,"58,148",1.6%,1.7%,95.7%,0.7%,0.5%,0.8%,0.0%,0.4%,1.9%,21.9%,25.8%,18.9%,13.2%,13.6%,5.5%,1.0%,"$52,951",8.8%,43.6%,18.6%,22.8%,6.2%
Maine,Somerset County,"50,302",1.8%,1.3%,96.0%,0.6%,0.6%,0.8%,0.0%,0.2%,1.8%,28.6%,24.6%,19.4%,11.9%,10.2%,4.2%,1.1%,"$46,424",12.0%,40.5%,19.1%,23.5%,4.9%
Maine,Washington County,"31,224",2.9%,2.9%,90.3%,0.7%,5.4%,0.4%,0.0%,0.8%,2.3%,28.0%,26.2%,19.0%,11.3%,11.0%,3.5%,1.0%,"$45,671",11.5%,39.3%,19.6%,22.5%,7.2%
Maine,York County,"209,707",2.6%,2.0%,94.8%,1.1%,0.4%,1.4%,0.0%,0.4%,2.0%,15.2%,19.9%,16.8%,14.3%,19.3%,10.9%,3.6%,"$72,168",6.2%,31.1%,21.4%,31.1%,10.2%
Maryland,Carroll County,"168,757",4.5%,4.2%,90.4%,3.8%,0.2%,2.1%,0.1%,1.1%,2.2%,10.0%,12.4%,12.8%,12.6%,22.9%,20.0%,9.3%,"$104,256",8.0%,30.3%,18.3%,29.9%,13.6%
Maryland,Queen Anne's County,"50,834",4.2%,4.7%,87.8%,6.1%,0.3%,1.1%,0.0%,2.0%,2.5%,8.0%,14.1%,14.2%,12.2%,22.9%,19.6%,9.1%,"$103,339",7.9%,29.6%,19.2%,29.4%,13.8%
Maryland,St. Mary's County,"114,504",5.2%,6.0%,76.1%,14.6%,0.5%,3.0%,0.1%,1.5%,4.2%,11.5%,14.3%,14.3%,11.6%,23.2%,17.8%,7.4%,"$96,390",10.0%,32.1%,18.3%,25.9%,13.6%
Massachusetts,Nantucket County,"11,596",13.4%,17.5%,81.0%,10.6%,0.2%,1.6%,0.0%,4.0%,2.6%,8.4%,11.4%,14.4%,9.4%,22.0%,21.7%,12.8%,"$115,544",4.7%,18.4%,18.7%,36.2%,22.0%
Michigan,Alger County,"9,048",1.6%,1.8%,84.0%,7.6%,4.5%,0.5%,0.0%,0.2%,3.4%,23.0%,26.8%,20.3%,13.6%,10.9%,4.4%,0.9%,"$50,314",10.9%,44.4%,19.6%,19.4%,5.7%
Michigan,Arenac County,"14,735",1.9%,2.3%,95.5%,0.6%,1.2%,0.4%,0.1%,0.4%,1.9%,25.5%,29.5%,19.6%,10.6%,10.1%,3.6%,1.0%,"$45,567",12.5%,42.4%,22.6%,18.5%,4.0%
Michigan,Barry County,"62,129",2.1%,3.5%,95.6%,0.7%,0.5%,0.5%,0.0%,0.9%,1.8%,13.6%,20.6%,21.1%,16.3%,18.1%,8.0%,2.2%,"$68,663",7.3%,37.9%,24.0%,24.5%,6.4%
Michigan,Benzie County,"17,845",3.5%,3.0%,94.7%,0.7%,1.4%,0.5%,0.0%,0.9%,1.8%,16.6%,23.4%,18.0%,16.4%,17.9%,5.8%,1.9%,"$63,903",6.5%,31.9%,22.2%,27.9%,11.6%
Michigan,Branch County,"43,442",4.9%,5.5%,92.2%,2.1%,0.4%,0.8%,0.0%,2.2%,2.3%,17.3%,26.3%,21.3%,13.8%,14.0%,5.9%,1.4%,"$57,578",10.8%,41.3%,24.6%,18.9%,4.4%
Michigan,Charlevoix County,"26,109",2.6%,2.5%,94.6%,0.6%,1.5%,0.6%,0.1%,0.6%,2.1%,17.8%,24.0%,18.7%,13.7%,14.4%,7.4%,4.0%,"$60,937",6.4%,29.6%,22.9%,28.3%,12.7%
Michigan,Chippewa County,"37,078",2.2%,2.3%,70.5%,6.3%,16.0%,1.1%,0.1%,0.3%,5.8%,24.8%,26.2%,19.4%,12.3%,11.2%,4.6%,1.4%,"$49,006",10.1%,35.1%,25.6%,22.7%,6.5%
Michigan,Clinton County,"80,329",3.4%,4.9%,92.0%,1.9%,0.4%,1.7%,0.1%,1.4%,2.4%,13.5%,19.8%,18.8%,16.0%,18.4%,10.3%,3.1%,"$72,167",6.1%,26.9%,24.5%,32.1%,10.5%
Michigan,Crawford County,"14,090",3.1%,2.4%,95.3%,1.1%,0.8%,0.8%,0.0%,0.2%,1.7%,21.6%,26.2%,20.7%,13.2%,12.4%,5.6%,0.2%,"$52,623",10.9%,33.8%,26.1%,22.3%,6.8%
Michigan,Delta County,"35,570",1.5%,1.7%,93.3%,0.4%,2.7%,0.5%,0.0%,0.3%,2.7%,22.7%,25.4%,18.6%,12.1%,14.7%,4.8%,1.6%,"$52,437",6.0%,33.4%,25.5%,28.3%,6.8%
Michigan,Dickinson County,"25,057",2.1%,1.9%,95.6%,0.6%,1.0%,0.6%,0.0%,0.3%,1.8%,21.1%,23.5%,19.8%,12.1%,15.1%,6.2%,2.2%,"$56,836",5.2%,33.8%,23.7%,28.4%,8.9%
Michigan,Emmet County,"33,579",1.9%,1.9%,91.8%,0.8%,3.8%,0.6%,0.2%,0.3%,2.5%,16.7%,25.2%,17.7%,13.8%,15.1%,8.0%,3.6%,"$61,499",6.1%,24.5%,24.8%,31.8%,12.7%
Michigan,Gogebic County,"13,422",2.0%,1.9%,90.6%,3.8%,3.0%,0.4%,0.0%,0.4%,1.7%,29.9%,26.7%,18.7%,9.4%,10.5%,3.2%,1.5%,"$42,912",6.6%,37.7%,24.5%,25.3%,6.0%
Michigan,Grand Traverse County,"93,827",2.7%,3.3%,94.2%,0.8%,1.2%,0.8%,0.1%,0.8%,2.1%,13.8%,19.3%,17.8%,14.5%,20.0%,9.4%,5.2%,"$73,648",4.4%,25.3%,24.3%,33.2%,12.8%
Michigan,Hillsdale County,"45,447",2.2%,2.6%,95.7%,0.7%,0.6%,0.5%,0.0%,0.6%,1.8%,21.1%,24.2%,20.5%,12.4%,14.0%,6.1%,1.7%,"$55,712",11.6%,38.6%,23.9%,19.7%,6.2%
Michigan,Houghton County,"35,406",2.8%,2.0%,92.5%,1.0%,0.7%,3.4%,0.0%,0.3%,2.0%,27.7%,24.3%,17.2%,12.0%,12.1%,4.8%,1.9%,"$47,723",7.1%,33.8%,17.5%,27.1%,14.4%
Michigan,Huron County,"30,658",1.6%,2.7%,96.6%,0.6%,0.4%,0.6%,0.0%,0.6%,1.1%,21.2%,26.9%,20.5%,12.5%,12.6%,4.2%,2.1%,"$52,288",11.1%,42.2%,21.0%,20.6%,5.1%
Michigan,Iron County,"10,974",3.7%,2.8%,94.9%,0.5%,1.6%,0.5%,0.0%,0.4%,2.1%,28.0%,27.7%,17.5%,12.1%,10.7%,3.0%,0.8%,"$44,062",7.9%,43.8%,20.4%,20.9%,6.9%
Michigan,Kalkaska County,"18,282",1.8%,2.7%,94.5%,0.7%,1.0%,0.8%,0.0%,0.4%,2.6%,22.6%,27.1%,20.6%,12.5%,12.0%,4.2%,1.0%,"$50,384",13.3%,41.5%,24.8%,16.3%,4.2%
Michigan,Lapeer County,"87,330",3.6%,5.0%,94.3%,1.2%,0.5%,0.7%,0.0%,1.5%,1.8%,15.6%,20.0%,18.2%,14.4%,18.8%,10.1%,2.8%,"$69,714",8.7%,37.5%,25.8%,22.4%,5.6%
Michigan,Leelanau County,"21,813",3.5%,4.9%,91.8%,0.7%,3.2%,0.8%,0.0%,1.3%,2.2%,12.3%,22.8%,19.6%,14.4%,16.7%,9.1%,5.2%,"$69,103",4.8%,21.9%,21.0%,34.8%,17.6%
Michigan,Lenawee County,"98,374",4.9%,8.6%,91.2%,2.8%,0.5%,0.5%,0.0%,2.2%,2.8%,16.4%,23.5%,20.5%,14.4%,16.1%,6.9%,2.2%,"$62,263",9.7%,37.1%,22.4%,23.6%,7.2%
Michigan,Manistee County,"24,585",3.1%,3.6%,90.5%,3.6%,2.2%,0.4%,0.1%,0.8%,2.4%,20.1%,27.5%,19.1%,13.2%,12.6%,5.3%,2.4%,"$53,250",9.3%,36.2%,22.9%,24.3%,7.3%
Michigan,Marquette County,"66,602",2.1%,1.9%,92.8%,1.5%,2.0%,0.9%,0.0%,0.3%,2.6%,18.8%,24.7%,20.2%,15.4%,13.5%,5.7%,1.7%,"$58,053",4.3%,32.6%,21.8%,31.6%,9.7%
Michigan,Menominee County,"22,555",2.1%,2.3%,93.2%,0.8%,3.2%,0.5%,0.0%,0.4%,1.9%,23.5%,26.8%,21.1%,12.3%,11.1%,3.8%,1.4%,"$49,741",7.6%,42.8%,22.3%,22.1%,5.3%
Michigan,Midland County,"82,992",3.2%,3.2%,93.0%,1.4%,0.5%,2.5%,0.1%,0.6%,2.0%,18.6%,22.2%,18.4%,12.8%,14.0%,8.5%,5.5%,"$62,458",6.1%,29.2%,20.3%,30.4%,14.1%
Michigan,Missaukee County,"15,154",2.4%,3.8%,94.9%,0.6%,0.9%,0.8%,0.0%,1.0%,1.9%,21.0%,28.0%,20.6%,12.9%,11.8%,4.2%,1.4%,"$51,154",11.2%,42.0%,22.3%,20.6%,4.0%
Michigan,Montmorency County,"9,331",1.3%,1.5%,96.2%,0.5%,0.8%,0.3%,0.0%,0.2%,2.0%,23.2%,29.7%,22.5%,10.9%,10.0%,2.5%,1.1%,"$47,410",13.1%,43.2%,22.2%,16.7%,4.8%
Michigan,Ogemaw County,"20,995",1.2%,2.8%,95.5%,0.4%,1.0%,0.8%,0.0%,0.4%,1.9%,24.0%,31.6%,19.2%,10.6%,9.9%,3.8%,0.9%,"$45,335",14.4%,39.1%,25.3%,16.8%,4.4%
Michigan,Ontonagon County,"5,576",1.9%,1.9%,95.3%,0.4%,1.6%,0.8%,0.0%,0.2%,1.7%,26.3%,31.4%,19.9%,10.5%,8.8%,2.7%,0.4%,"$43,514",7.3%,40.8%,22.7%,23.8%,5.4%
Michigan,Otsego County,"24,776",2.2%,2.0%,95.1%,0.6%,1.0%,1.0%,0.0%,0.3%,2.0%,16.8%,26.9%,20.1%,12.8%,15.5%,6.4%,1.6%,"$57,857",7.8%,34.0%,23.8%,26.2%,8.2%
Michigan,Ottawa County,"295,835",7.9%,10.7%,87.9%,1.8%,0.4%,3.0%,0.0%,4.2%,2.6%,11.4%,18.4%,18.9%,15.4%,20.8%,11.5%,3.6%,"$77,177",6.3%,28.5%,21.5%,32.4%,11.3%
Michigan,Roscommon County,"24,066",2.6%,2.5%,95.6%,0.6%,1.0%,0.8%,0.0%,0.4%,1.6%,27.2%,29.4%,20.4%,10.7%,8.1%,3.1%,1.2%,"$44,266",10.1%,40.8%,25.7%,17.3%,6.2%
Michigan,Sanilac County,"40,980",2.3%,4.0%,95.7%,0.6%,0.5%,0.4%,0.0%,1.3%,1.5%,22.1%,26.6%,20.3%,12.1%,12.2%,5.0%,1.6%,"$51,544",12.1%,41.6%,22.6%,18.6%,5.2%
Michigan,Schoolcraft County,"8,083",1.0%,1.3%,85.5%,0.5%,9.3%,0.3%,0.0%,0.1%,4.2%,26.2%,27.9%,16.7%,12.7%,11.7%,3.6%,1.3%,"$46,418",9.9%,44.4%,21.3%,19.7%,4.8%
Michigan,Shiawassee County,"67,867",2.1%,3.3%,95.4%,0.7%,0.6%,0.6%,0.1%,0.7%,2.0%,15.3%,25.4%,21.4%,14.3%,14.6%,7.2%,1.8%,"$60,847",8.8%,34.3%,28.1%,22.2%,6.6%
Michigan,St. Joseph County,"60,966",6.9%,8.8%,88.8%,2.4%,0.5%,0.6%,0.0%,4.6%,2.9%,18.3%,24.5%,21.6%,14.0%,14.4%,5.7%,1.6%,"$58,382",12.8%,38.3%,23.7%,19.5%,5.8%
Michigan,Tuscola County,"51,691",2.3%,3.9%,95.2%,1.3%,0.6%,0.3%,0.0%,0.9%,1.6%,20.3%,26.9%,20.0%,12.8%,13.3%,5.4%,1.3%,"$53,515",10.6%,41.8%,23.5%,19.6%,4.5%
Michigan,Washtenaw County,"368,985",4.5%,5.3%,72.1%,12.0%,0.3%,10.0%,0.0%,1.5%,4.0%,17.3%,16.8%,14.1%,11.9%,16.6%,14.5%,8.9%,"$78,844",4.6%,14.8%,17.6%,33.7%,29.3%
Michigan,Wexford County,"33,860",2.3%,2.4%,95.5%,0.7%,0.7%,0.6%,0.0%,0.4%,2.0%,22.1%,29.0%,21.3%,11.6%,11.1%,3.7%,1.1%,"$49,046",10.4%,36.9%,24.6%,22.6%,5.4%
Minnesota,Becker County,"34,726",2.3%,2.6%,86.6%,0.7%,8.0%,0.6%,0.0%,0.5%,3.6%,16.7%,22.2%,17.7%,15.7%,16.7%,7.8%,3.1%,"$65,706",7.1%,31.9%,22.4%,31.0%,7.6%
Minnesota,Beltrami County,"47,543",2.1%,2.9%,72.3%,0.8%,22.1%,0.8%,0.0%,0.4%,3.5%,22.5%,25.9%,17.5%,12.2%,14.0%,5.9%,2.0%,"$52,218",8.5%,28.0%,23.0%,29.7%,10.7%
Minnesota,Benton County,"41,187",3.8%,2.9%,90.0%,5.3%,0.6%,1.2%,0.0%,0.7%,2.3%,17.9%,21.7%,18.1%,14.6%,17.0%,8.8%,1.9%,"$64,394",7.5%,30.9%,24.7%,31.1%,5.8%
Minnesota,Blue Earth County,"68,327",4.4%,4.4%,88.9%,4.4%,0.4%,2.5%,0.1%,1.1%,2.7%,18.4%,23.0%,16.5%,14.1%,16.8%,8.7%,2.4%,"$63,019",6.3%,25.4%,19.7%,36.3%,12.4%
Minnesota,Clay County,"64,939",4.5%,5.1%,88.2%,4.5%,1.6%,1.4%,0.1%,1.3%,3.0%,17.1%,18.1%,17.0%,15.5%,19.1%,10.5%,2.7%,"$71,834",5.0%,25.4%,21.8%,38.6%,9.2%
Minnesota,Hubbard County,"21,666",2.3%,2.5%,93.6%,0.5%,2.7%,0.6%,0.0%,0.7%,1.9%,16.2%,23.8%,18.8%,14.4%,16.0%,8.4%,2.4%,"$63,358",7.0%,30.7%,23.4%,30.2%,8.6%
Minnesota,Koochiching County,"12,139",2.6%,1.5%,93.5%,0.7%,2.6%,0.7%,0.0%,0.3%,2.3%,24.2%,24.3%,17.7%,12.8%,13.4%,5.9%,1.7%,"$52,103",7.4%,36.0%,26.8%,23.6%,6.1%
Minnesota,Martin County,"19,493",4.1%,5.0%,94.5%,0.7%,0.5%,0.6%,0.1%,1.9%,1.6%,18.1%,23.6%,19.2%,13.5%,15.7%,5.9%,3.9%,"$60,790",7.1%,38.1%,22.5%,27.3%,5.1%
Minnesota,Mille Lacs County,"26,292",4.6%,2.9%,89.7%,0.7%,6.0%,0.7%,0.1%,0.6%,2.4%,18.2%,23.8%,20.7%,13.4%,15.5%,6.7%,1.7%,"$59,661",10.0%,38.1%,24.9%,22.4%,4.7%
Minnesota,Wadena County,"13,684",1.9%,2.4%,94.5%,1.2%,0.8%,0.6%,0.0%,0.5%,2.4%,19.2%,30.1%,20.0%,12.3%,11.7%,4.8%,1.9%,"$50,890",9.4%,37.1%,25.6%,24.2%,3.7%
Minnesota,Winona County,"50,301",4.3%,3.4%,92.1%,2.0%,0.4%,2.8%,0.0%,1.1%,1.6%,18.8%,23.0%,17.8%,14.2%,15.8%,7.8%,2.6%,"$61,541",6.8%,27.4%,22.7%,33.0%,10.1%
Mississippi,Adams County,"30,285",7.4%,13.0%,41.1%,52.8%,0.5%,0.5%,0.0%,3.2%,2.0%,42.5%,28.2%,12.1%,7.3%,5.4%,2.9%,1.5%,"$29,883",21.0%,34.9%,18.6%,18.0%,7.5%
Mississippi,Coahoma County,"21,340",1.6%,2.0%,20.4%,77.2%,0.1%,0.5%,0.0%,0.8%,0.9%,42.1%,25.3%,11.9%,8.8%,7.6%,2.7%,1.5%,"$32,342",20.7%,24.6%,24.0%,24.9%,5.7%
Mississippi,Lincoln County,"34,003",10.0%,1.3%,67.5%,30.2%,0.2%,0.4%,0.0%,0.4%,1.2%,31.0%,23.8%,13.6%,11.0%,13.6%,5.3%,1.9%,"$44,813",12.9%,37.5%,22.1%,21.3%,6.2%
Mississippi,Oktibbeha County,"49,742",1.9%,1.9%,57.0%,37.7%,0.2%,3.3%,0.1%,0.5%,1.4%,35.2%,19.9%,12.7%,9.7%,11.9%,7.5%,2.9%,"$43,189",9.2%,20.5%,19.3%,28.7%,22.2%
Mississippi,Pike County,"39,093",5.1%,2.4%,42.9%,53.9%,0.4%,0.6%,0.1%,0.9%,1.2%,42.8%,25.6%,14.3%,7.8%,6.3%,2.3%,0.7%,"$30,790",17.7%,35.9%,20.0%,21.1%,5.3%
Mississippi,Rankin County,"157,154",4.4%,3.0%,73.8%,21.5%,0.2%,1.4%,0.0%,1.6%,1.5%,13.2%,19.2%,20.0%,16.5%,16.8%,11.7%,2.6%,"$71,915",9.9%,26.4%,21.8%,30.2%,11.7%
Mississippi,Stone County,"18,417",6.4%,2.6%,77.0%,19.9%,0.5%,0.5%,0.1%,0.6%,1.6%,26.0%,27.0%,18.2%,14.8%,9.3%,3.3%,1.4%,"$46,829",19.2%,34.1%,22.8%,19.5%,4.5%
Missouri,Adair County,"25,272",4.1%,2.9%,90.9%,3.3%,0.3%,2.4%,0.1%,0.8%,2.3%,34.9%,22.4%,15.7%,10.2%,11.1%,4.6%,1.2%,"$41,214",9.1%,35.8%,17.6%,21.8%,15.7%
Missouri,Andrew County,"17,820",3.9%,3.1%,95.5%,1.2%,0.3%,0.6%,0.0%,0.6%,1.7%,17.5%,22.7%,18.2%,13.1%,18.8%,7.3%,2.4%,"$63,435",7.9%,38.2%,22.8%,22.6%,8.5%
Missouri,Atchison County,"5,070",1.8%,1.5%,97.2%,0.5%,0.4%,0.3%,0.1%,0.1%,1.5%,20.4%,27.6%,19.6%,13.4%,11.5%,6.3%,1.2%,"$52,597",9.2%,39.5%,21.6%,23.6%,6.0%
Missouri,Barry County,"35,899",9.0%,11.0%,88.6%,0.6%,1.1%,2.2%,0.2%,4.9%,2.4%,25.1%,28.8%,18.6%,11.1%,11.7%,3.1%,1.7%,"$46,522",17.5%,41.0%,20.0%,17.2%,4.4%
Missouri,Barton County,"11,676",6.4%,3.1%,92.9%,0.8%,1.5%,0.6%,0.1%,1.2%,3.0%,25.4%,29.1%,15.5%,9.2%,10.2%,8.7%,1.8%,"$46,006",12.5%,42.9%,21.2%,17.6%,5.8%
Missouri,Benton County,"19,604",4.5%,2.4%,95.6%,0.6%,0.9%,0.5%,0.1%,0.5%,2.0%,26.8%,31.5%,17.2%,10.2%,9.4%,3.6%,1.3%,"$43,018",13.9%,41.0%,23.8%,16.0%,5.4%
Missouri,Butler County,"42,344",3.8%,2.5%,89.2%,5.6%,0.7%,0.8%,0.0%,0.8%,2.9%,31.4%,27.0%,17.2%,10.7%,8.5%,3.2%,2.0%,"$41,622",17.1%,36.1%,23.5%,18.0%,5.4%
Missouri,Caldwell County,"8,989",1.0%,2.5%,94.6%,0.7%,0.7%,0.4%,0.0%,1.3%,2.3%,23.3%,25.5%,20.3%,13.1%,12.2%,4.8%,0.8%,"$51,510",9.6%,43.3%,20.9%,21.5%,4.6%
Missouri,Camden County,"46,817",2.9%,3.2%,95.1%,0.8%,0.6%,0.7%,0.1%,1.1%,1.6%,19.2%,23.0%,18.6%,12.9%,15.7%,6.6%,4.0%,"$60,474",10.7%,37.7%,20.8%,22.7%,8.0%
Missouri,Carter County,"5,881",2.3%,3.2%,95.0%,0.4%,1.3%,0.1%,0.0%,0.7%,2.4%,26.9%,27.9%,17.7%,10.8%,8.9%,5.9%,2.0%,"$45,585",16.8%,37.3%,23.2%,17.4%,5.2%
Missouri,Cedar County,"14,510",1.3%,2.8%,95.3%,0.4%,0.9%,0.5%,0.0%,0.7%,2.2%,26.5%,30.9%,18.6%,9.3%,8.8%,3.8%,2.1%,"$43,803",15.3%,40.3%,22.1%,16.7%,5.7%
Missouri,Chariton County,"7,372",1.4%,1.2%,95.0%,2.5%,0.5%,0.3%,0.0%,0.3%,1.5%,24.8%,23.0%,19.3%,11.7%,13.6%,6.2%,1.3%,"$52,808",9.9%,48.9%,15.1%,19.7%,6.4%
Missouri,Christian County,"90,619",2.5%,3.3%,94.5%,0.8%,0.7%,0.8%,0.1%,0.9%,2.2%,18.0%,23.1%,19.9%,14.4%,15.8%,6.5%,2.2%,"$61,132",7.0%,28.5%,26.3%,27.1%,11.2%
